cpu_util,load_avg,temp,run_queue_length,frequency
3,72,62250,2,2400
3,72,62250,2,2400
3,74,61700,2,2400
3,74,61150,2,2400
3,74,62250,2,2400
3,74,62250,2,2400
3,74,61700,2,2400
3,76,62250,2,2400
3,76,61150,2,2400
3,76,61150,2,2400
3,76,62800,2,2400
3,76,62250,2,2400
3,78,60600,2,2400
3,78,62250,2,2400
3,78,61700,2,2400
3,78,62250,2,2400
3,78,61150,2,2400
3,80,62800,2,2400
3,80,62250,2,2400
3,80,61700,3,2400
3,80,62800,2,2400
3,80,62800,2,2400
3,81,62250,2,2400
3,81,62250,2,2400
3,81,62250,2,2400
3,81,62250,2,2400
3,81,61150,2,2400
3,91,62250,2,2400
3,91,62250,2,2400
3,91,62250,2,2400
3,91,62250,2,2400
3,91,62800,2,2400
3,92,62250,2,2400
3,92,62250,2,2400
3,92,62250,2,2400
3,92,62250,2,2400
3,92,61700,2,2400
3,92,61700,2,2400
3,92,62800,2,2400
3,92,62250,2,2400
3,92,62800,2,2400
3,92,62250,2,2400
3,93,62800,2,2400
3,93,61700,2,2400
3,93,62800,2,2400
3,93,62800,2,2400
3,93,61700,2,2400
3,93,62800,2,2400
3,93,62800,2,2400
3,93,62250,2,2400
3,93,62800,2,2400
3,93,63900,2,2400
3,94,62800,2,2400
3,94,61700,2,2400
3,94,62800,2,2400
3,94,61700,2,2400
3,94,62800,2,2400
3,95,62800,2,2400
3,95,61700,2,2400
3,95,63350,2,2400
3,95,62800,2,2400
3,95,62800,2,2400
3,95,62800,2,2400
3,95,62800,2,2400
3,95,62800,2,2400
3,95,63350,2,2400
3,95,63350,2,2400
3,95,63350,2,2400
3,95,63350,2,2400
3,95,63350,2,2400
3,95,62250,2,2400
3,95,62800,2,2400
3,96,63900,2,2400
3,96,63900,2,2400
3,96,62800,2,2400
3,96,64450,2,2400
3,96,63350,2,2400
3,96,62250,2,2400
3,96,62800,2,2400
3,96,63350,2,2400
3,96,63900,2,2400
3,96,63350,2,2400
3,96,63900,2,2400
3,96,63900,2,2400
3,96,62800,2,2400
3,96,62800,2,2400
3,96,63900,2,2400
3,97,63350,2,2400
3,97,62800,2,2400
3,97,63900,2,2400
3,97,63900,2,2400
3,97,63900,2,2400
3,97,63350,2,2400
3,97,63900,2,2400
3,97,63350,2,2400
3,97,63900,2,2400
3,97,63900,2,2400
3,97,63900,2,2400
3,97,63900,2,2400
3,97,64450,2,2400
3,97,63900,2,2400
3,97,63900,2,2400
3,98,63900,2,2400
4,98,63350,2,2400
3,98,63350,2,2400
3,98,63350,2,2400
3,98,64450,2,2400
3,98,63900,2,2400
3,98,63900,2,2400
3,98,64450,2,2400
3,98,63350,2,2400
3,98,63900,2,2400
3,98,62800,2,2400
3,98,64450,2,2400
3,98,63900,2,2400
3,98,62800,2,2400
3,98,63900,2,2400
3,98,62800,2,2400
